TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
50126,izmir,karabaglar,karabaglar ito vakfi suleyman tastekin mesleki ve teknik anadolu lisesi,anadolu teknik programi,bilisim teknolojileri alani,ingilizce,271.6747,48.59,366.5635,16.53,319.1191
50493,izmir,bornova,bornova mesleki ve teknik anadolu lisesi,anadolu teknik programi,gida teknolojisi alani,ingilizce,271.5664,48.65,326.1428,27.16,298.8546
50828,izmir,aliaga,aliaga mesleki ve teknik anadolu lisesi,anadolu teknik programi,adalet alani,ingilizce,270.6352,49.11,363.8011,17.15,317.21815000000004
50495,izmir,konak,konak cinarli mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,269.9503,49.45,345.8048,21.56,307.87755000000004
50653,izmir,narlidere,arkas narlidere mesleki ve teknik anadolu lisesi,anadolu teknik programi,ulastirma hizmetleri alani,ingilizce,269.4783,49.68,366.1636,16.62,317.82095
50216,izmir,aliaga,habas hamdi basaran mesleki ve teknik anadolu lisesi,anadolu teknik programi,makine ve tasarim teknolojisi alani,ingilizce,262.8447,53.1,395.5163,10.72,329.1805
65467,izmir,aliaga,turkiye odalar ve borsalar birligi alosbi mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani (sinavli),ingilizce,259.5098,54.88,397.3305,10.4,328.42015
49944,izmir,konak,konak mithatpasa mesleki ve teknik anadolu lisesi,anadolu teknik programi,makine ve tasarim teknolojisi alani,ingilizce,258.819,55.26,317.5034,29.97,288.1612
39747,izmir,aliaga,aliaga heydar aliyev mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,258.0029,55.71,317.1214,30.09,287.56215
50108,izmir,konak,konak nevvar salih isgoren egitim kampusu-2 mesleki ve teknik anadolu lisesi,anadolu teknik programi,gida teknolojisi alani,ingilizce,256.4336,56.58,338.047,23.64,297.24030000000005
65426,izmir,karsiyaka,karsiyaka zeki sairoglu mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,254.0793,57.89,354.5866,19.34,304.33295
50092,izmir,karabaglar,karabaglar ito vakfi suleyman tastekin mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,252.4232,58.84,361.9896,17.57,307.20640000000003
72385,izmir,aliaga,turkiye odalar ve borsalar birligi alosbi mesleki ve teknik anadolu lisesi,anadolu teknik programi,kimya teknolojisi alani (sinavli),ingilizce,252.3865,58.86,360.6847,17.88,306.53560000000004
