TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
50340,AFYONKARAHİSAR,SANDIKLI,Sandıklı Türk Telekom Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,394.8273,10.84,448.1368,3.03,421.48204999999996
49605,AFYONKARAHİSAR,DİNAR,Dinar Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,389.3133,11.85,483.2627,0.3,436.288
40943,AFYONKARAHİSAR,MERKEZ,TOKİ Sosyal Bilimler Lisesi,Hazırlık Sınıfı Bulunmayan Sosyal Bilimler Lisesi,,İngilizce,370.2184,15.72,412.1495,7.89,391.18395
41080,AFYONKARAHİSAR,BOLVADİN,Raziye Sultan-Yusuf Kayabaşı Sosyal Bilimler Lisesi,Hazırlık Sınıfı Bulunmayan Sosyal Bilimler Lisesi,,İngilizce,329.9691,25.99,399.5024,10.02,364.73575000000005
39728,AFYONKARAHİSAR,MERKEZ,Kamil Miras Anadolu Lisesi,Anadolu Lisesi,,İngilizce,434.0028,4.73,456.0055,2.22,445.00415
49435,AFYONKARAHİSAR,MERKEZ,Afyon Lisesi,Anadolu Lisesi,,İngilizce,414.0618,7.6,449.7054,2.85,431.8836
47781,AFYONKARAHİSAR,ŞUHUT,Şuhut Anadolu Lisesi,Anadolu Lisesi,,İngilizce,303.274,35.01,412.2829,7.87,357.77845
40993,AFYONKARAHİSAR,ÇAY,Çay Anadolu Lisesi,Anadolu Lisesi,,İngilizce,299.0549,36.61,388.2326,12.06,343.64374999999995
41030,AFYONKARAHİSAR,EMİRDAĞ,Emirdağ Anadolu Lisesi,Anadolu Lisesi,,İngilizce,280.7405,44.31,366.8823,16.46,323.8114
47626,AFYONKARAHİSAR,İSCEHİSAR,İscehisar Mehmet Çakmak Anadolu Lisesi,Anadolu Lisesi,,İngilizce,273.8683,47.54,393.6159,11.06,333.7421
50438,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,351.1218,20.19,476.9856,0.59,414.0537
40935,AFYONKARAHİSAR,DİNAR,Dinar Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,315.8309,30.52,382.8262,13.11,349.32854999999995
71758,AFYONKARAHİSAR,SANDIKLI,Sandıklı Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,309.0727,32.88,381.416,13.39,345.24435
50473,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Hattat Ahmet Karahisari Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,309.0044,32.9,402.181,9.55,355.5927
40801,AFYONKARAHİSAR,BOLVADİN,Bolvadin Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,287.4406,41.36,391.0237,11.52,339.23215000000005
