iter	Passed	Remaining
1370	73219	460841
1371	73272	460786
1372	73317	460675
1373	73365	460593
1374	73415	460512
1375	73460	460411
1376	73502	460287
1377	73549	460193
1378	73595	460092
1379	73651	460057
1380	73696	459948
1381	73752	459914
1382	73802	459835
1383	73857	459796
1384	73902	459687
1385	73946	459578
1386	74002	459540
1387	74051	459458
1388	74101	459385
1389	74141	459248
1390	74190	459172
1391	74240	459094
1392	74289	459014
1393	74331	458890
1394	74375	458785
1395	74428	458724
1396	74471	458608
1397	74513	458489
1398	74559	458388
1399	74601	458263
1400	74651	458193
1401	74695	458085
1402	74748	458024
1403	74804	457990
1404	74855	457925
1405	74901	457826
1406	74949	457741
1407	74999	457667
1408	75052	457615
1409	75101	457535
1410	75147	457436
1411	75189	457315
1412	75230	457183
1413	75278	457100
1414	75324	457003
1415	75365	456876
1416	75420	456833
1417	75463	456720
1418	75505	456600
1419	75559	456549
1420	75606	456458
1421	75657	456394
1422	75711	456342
1423	75780	456384
1424	75830	456316
1425	75895	456329
1426	75953	456304
1427	75999	456207
1428	76041	456090
1429	76088	455999
1430	76135	455905
1431	76188	455852
1432	76234	455759
1433	76282	455675
1434	76335	455621
1435	76385	455547
1436	76437	455486
1437	76487	455414
1438	76532	455313
1439	76585	455260
1440	76642	455227
1441	76690	455144
1442	76738	455058
1443	76816	455154
1444	76897	455262
1445	76963	455287
1446	77033	455333
1447	77104	455384
1448	77172	455416
1449	77228	455381
1450	77276	455297
1451	77325	455217
1452	77378	455161
1453	77423	455065
1454	77478	455019
1455	77538	455003
1456	77596	454977
1457	77656	454964
1458	77696	454836
1459	77744	454754
1460	77784	454618
1461	77832	454539
1462	77879	454450
1463	77923	454337
1464	77967	454236
1465	78013	454139
1466	78060	454050
1467	78115	454003
1468	78177	454004
1469	78225	453918
1470	78273	453835
1471	78325	453774
1472	78372	453688
1473	78430	453659
1474	78487	453631
1475	78545	453608
1476	78589	453496
1477	78641	453438
1478	78685	453329
1479	78740	453290
1480	78799	453272
1481	78854	453227
1482	78912	453204
1483	78966	453152
1484	79014	453070
1485	79067	453013
1486	79111	452908
1487	79156	452810
1488	79202	452714
1489	79245	452601
1490	79292	452517
1491	79345	452458
1492	79408	452463
1493	79462	452417
1494	79546	452534
1495	79593	452447
1496	79645	452388
1497	79706	452380
1498	79753	452291
1499	79811	452263
1500	79862	452202
1501	79910	452118
1502	79961	452051
1503	80014	451996
1504	80085	452044
1505	80138	451986
1506	80191	451934
1507	80241	451864
1508	80295	451813
1509	80349	451767
1510	80392	451654
1511	80441	451580
1512	80504	451582
1513	80570	451598
1514	80642	451653
1515	80717	451722
1516	80778	451710
1517	80849	451756
1518	80900	451692
1519	80946	451597
1520	80991	451497
1521	81047	451458
1522	81093	451364
1523	81159	451382
1524	81229	451420
1525	81292	451421
1526	81350	451396
1527	81425	451462
1528	81486	451452
1529	81564	451536
1530	81612	451456
1531	81667	451412
1532	81724	451377
1533	81774	451305
1534	81823	451227
1535	81882	451209
1536	81930	451125
1537	81984	451075
1538	82043	451052
1539	82091	450972
1540	82144	450915
1541	82224	451009
1542	82289	451019
1543	82348	450994
1544	82399	450930
1545	82461	450923
1546	82506	450825
1547	82555	450749
1548	82608	450693
1549	82651	450582
